t,model,average,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,type,architecture,weight_type,precision,merged,hub_license,params_b,hub_hearts,available_on_the_hub,model_sha,flagged,moe,date,fullname,url
🤝,paloalma/Le_Triomphant-ECE-TW3,81.31,78.5,90.3,77.81,75.84,85.56,79.83,🤝 base merges and moerges,LlamaForCausalLM,Original,bfloat16,FALSE,apache-2.0,72,2,TRUE,aa4d9084fcfb69afff6b2bac5c1350bf29a159cb,TRUE,TRUE,2024-05-05T12:22:44Z,paloalma/Le_Triomphant-ECE-TW3,https://huggingface.co/paloalma/Le_Triomphant-ECE-TW3
🔶,SF-Foundation/Ein-70B-v2,81.29,79.86,91.49,78.05,75.14,87.77,75.44,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",72,0,FALSE,a22e7ff7cc1511e6c513d0883bcb7bb2d4307e11,TRUE,TRUE,2024-04-29T14:54:38Z,SF-Foundation/Ein-70B-v2,https://huggingface.co/SF-Foundation/Ein-70B-v2
🔶,freewheelin/free-evo-qwen72b-v0.8-re,81.28,79.86,91.34,78,74.85,87.77,75.89,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,FALSE,mit,72,4,TRUE,df20836951a07c52d4aacc668fca3143429d485c,TRUE,TRUE,2024-05-05T07:26:59Z,freewheelin/free-evo-qwen72b-v0.8-re,https://huggingface.co/freewheelin/free-evo-qwen72b-v0.8-re
🔶,freewheelin/free-evo-qwen72b-v0.8,81.28,79.86,91.34,78,74.85,87.77,75.89,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",72,0,FALSE,7169478b57edff434bd943be28415ea9fc2cf1e0,TRUE,TRUE,2024-05-03T03:54:54Z,freewheelin/free-evo-qwen72b-v0.8,https://huggingface.co/freewheelin/free-evo-qwen72b-v0.8
🔶,davidkim205/Rhea-72b-v0.5,81.22,79.78,91.15,77.95,74.5,87.85,76.12,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,apache-2.0,72,117,TRUE,fda5cf998a0f2d89b53b5fa490793e3e50bb8239,TRUE,TRUE,2024-03-22T15:04:33Z,davidkim205/Rhea-72b-v0.5,https://huggingface.co/davidkim205/Rhea-72b-v0.5
💬,Contamination/contaminated_proof_7b_v1.0,81.14,78.07,90.22,78.92,82.29,88.16,69.14,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,TRUE,unknown,7,4,TRUE,b1415875faed65cd29fd804941f5dcf835e99608,FALSE,TRUE,2024-03-29T09:34:19Z,Contamination/contaminated_proof_7b_v1.0,https://huggingface.co/Contamination/contaminated_proof_7b_v1.0
💬,Contamination/contaminated_proof_7b_v1.0_safetensor,81.14,78.07,90.22,78.92,82.29,88.16,69.14,"💬 chat models (RLHF, DPO, IFT, ...)",MistralForCausalLM,Original,float16,TRUE,unknown,7,11,TRUE,5d7fcb3724d6b08cf82e1b0c1faa1695b9fd6932,FALSE,TRUE,2024-04-02T01:59:03Z,Contamination/contaminated_proof_7b_v1.0_safetensor,https://huggingface.co/Contamination/contaminated_proof_7b_v1.0_safetensor
🔶,davidkim205/Rhea-72b-v0.4,81.09,78.5,90.75,78.01,73.91,86.74,78.62,🔶 fine-tuned on domain-specific datasets,LlamaForCausalLM,Original,float16,TRUE,"",72,0,FALSE,5502123c46485914a580d6794eeb5fb3554b46aa,TRUE,TRUE,2024-03-22T15:04:15Z,davidkim205/Rhea-72b-v0.4,https://huggingface.co/davidkim205/Rhea-72b-v0.4
💬,MTSAIR/MultiVerse_70B,81,78.67,89.77,78.22,75.18,87.53,76.65,"💬 chat models (RLHF, DPO, IFT, ...)",LlamaForCausalLM,Original,bfloat16,TRUE,other,72,32,TRUE,ea2b4ff8e5acd7a48993f56b2d7b99e049eb6939,TRUE,TRUE,2024-03-26T06:31:14Z,MTSAIR/MultiVerse_70B,https://huggingface.co/MTSAIR/MultiVerse_70B
🔶,binbi/Ein-72B-v0.1,80.99,76.45,89.43,77.14,78.09,84.77,80.06,🔶 fine-tuned on domain-specific datasets,?,Adapter,bfloat16,TRUE,"",72,0,FALSE,84ec4c0fcefc5af86f649a70c9d3ff493334e868,TRUE,TRUE,2024-02-04T01:01:02Z,binbi/Ein-72B-v0.1,https://huggingface.co/binbi/Ein-72B-v0.1
