rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
1,1,Gemini-2.5-Pro,1470,+5/-5,26019,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro
2,2,Gemini-2.5-Pro-Preview-05-06,1446,+6/-6,13715,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro-preview-05-06
3,2,GLM-4.5,1434,+9/-9,4112,Z.ai,MIT,,https://z.ai/blog/glm-4.5
4,2,Grok-4-0709,1434,+6/-6,13058,xAI,Proprietary,,https://docs.x.ai/docs/models/grok-4-0709
5,3,ChatGPT-4o-latest (2025-03-26),1429,+4/-4,30777,OpenAI,Proprietary,,https://x.com/OpenAI/status/1905331956856050135
6,3,o3-2025-04-16,1428,+4/-4,32033,OpenAI,Proprietary,,https://openai.com/index/introducing-o3-and-o4-mini/
7,3,Qwen3-235B-A22B-Instruct-2507,1427,+9/-9,4154,Alibaba,Apache 2.0,,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507
8,3,DeepSeek-R1-0528,1427,+5/-5,18284,DeepSeek,MIT,,https://api-docs.deepseek.com/news/news250528
9,4,Grok-3-Preview-02-24,1423,+4/-4,31757,xAI,Proprietary,,https://x.ai/blog/grok-3
10,8,Llama-4-Maverick-03-26-Experimental,1416,+4/-4,26604,Meta,,,https://ai.meta.com/blog/llama-4-multimodal-intelligence/
11,8,GPT-4.5-Preview,1415,+5/-5,15271,OpenAI,Proprietary,,https://openai.com/index/introducing-gpt-4-5/
12,7,Qwen3-235B-A22B-Thinking-2507,1413,+9/-9,3715,Alibaba,Apache 2.0,,https://huggingface.co/Qwen/Qwen3-235B-A22B-Thinking-2507
13,8,chocolate (Early Grok-3),1412,+6/-6,13837,xAI,Proprietary,,https://x.com/lmarena_ai/status/1891706264800936307
14,10,Gemini-2.5-Flash,1411,+4/-4,31359,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash
15,15,Gemini-2.0-Flash-Thinking-Exp-01-21,1397,+4/-4,27552,Google,Proprietary,,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-01-21
16,15,Gemini-2.0-Pro-Exp-02-05,1397,+5/-5,20120,Google,Proprietary,,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-pro-exp-02-05
17,15,Gemini-2.5-Flash-Preview-04-17,1396,+5/-5,18655,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash-preview-04-17
18,15,GLM-4.5-Air,1393,+9/-9,4306,Z.ai,MIT,,https://z.ai/blog/glm-4.5
19,15,Qwen3-235B-A22B-no-thinking,1391,+5/-5,24372,Alibaba,Apache 2.0,,https://qwenlm.github.io/blog/qwen3/
20,15,Gemini-Exp-1206,1389,+4/-4,23657,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?model=gemini-exp-1206
21,15,ChatGPT-4o-latest (2025-01-29),1389,+4/-4,23858,OpenAI,Proprietary,,https://help.openai.com/en/articles/9624314-model-release-notes
22,19,ChatGPT-4o-latest (2024-11-20),1381,+3/-3,40509,OpenAI,Proprietary,,https://help.openai.com/en/articles/9624314-model-release-notes
23,18,kimi-k2-0711-preview,1380,+6/-6,11676,Moonshot,Modified MIT,,https://moonshotai.github.io/Kimi-K2/
24,19,GPT-4.1-2025-04-14,1380,+5/-5,24834,OpenAI,Proprietary,,https://openai.com/index/gpt-4-1/
25,16,Qwen3-30B-A3B-Instruct-2507,1380,+12/-12,2258,Alibaba,Apache 2.0,,https://huggingface.co/Qwen/Qwen3-30B-A3B-Instruct-2507
26,22,Gemini-Exp-1121,1379,+5/-5,17328,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-exp-1121
27,22,Gemini-2.0-Flash-Thinking-Exp-1219,1378,+5/-5,16963,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-1219
28,22,Hunyuan-Turbos-20250416,1376,+6/-6,11657,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753
29,22,DeepSeek-V3-0324,1376,+4/-4,27391,DeepSeek,MIT,,https://api-docs.deepseek.com/news/news250325
30,22,Claude Opus 4 (thinking-16k),1373,+5/-5,17970,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
31,23,DeepSeek-R1,1372,+4/-4,19430,DeepSeek,MIT,,https://api-docs.deepseek.com/news/news250120
32,24,Gemini-2.0-Flash-Exp,1370,+4/-4,22500,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?model=gemini-2.0-flash-exp
33,24,Mistral Medium 3,1370,+5/-5,28010,Mistral,Proprietary,,https://mistral.ai/news/mistral-medium-3
34,24,Gemini-Exp-1114,1368,+5/-5,17088,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1114&model=gemini-exp-1114
35,28,Qwen2.5-Max,1366,+3/-3,35457,Alibaba,Proprietary,,https://qwenlm.github.io/blog/qwen2.5-max/
36,27,Claude Opus 4 (20250514),1366,+5/-5,26141,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
