rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
1,1,Gemini-2.5-Pro-Preview-05-06,1317,+13/-13,3147,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro-preview-05-06
2,1,Gemini-2.5-Pro,1314,+10/-10,6413,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro
3,2,ChatGPT-4o-latest (2025-03-26),1294,+9/-9,7455,OpenAI,Proprietary,,https://x.com/OpenAI/status/1905331956856050135
4,3,Gemini-Exp-1121,1280,+15/-15,2400,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-exp-1121
5,4,Gemini-2.5-Flash,1274,+10/-10,7141,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash
6,4,o3-2025-04-16,1269,+10/-10,7015,OpenAI,Proprietary,,https://openai.com/index/introducing-o3-and-o4-mini/
7,4,Grok-4-0709,1265,+14/-14,2716,xAI,Proprietary,,https://docs.x.ai/docs/models/grok-4-0709
8,4,ChatGPT-4o-latest (2025-01-29),1263,+11/-11,3692,OpenAI,Proprietary,,https://help.openai.com/en/articles/9624314-model-release-notes
9,4,Gemini-2.0-Flash-Thinking-Exp-01-21,1257,+9/-9,4756,Google,Proprietary,,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-01-21
10,6,GPT-4.1-2025-04-14,1252,+10/-10,6234,OpenAI,Proprietary,,https://openai.com/index/gpt-4-1/
11,4,Gemini-Exp-1114,1249,+16/-16,2111,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1114&model=gemini-exp-1114
12,6,Gemini-2.5-Flash-Preview-04-17,1248,+10/-10,4991,Google,Proprietary,,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash-preview-04-17
13,6,Gemini-2.0-Flash-Thinking-Exp-1219,1244,+15/-15,1845,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-1219
14,9,o4-mini-2025-04-16,1239,+11/-11,5480,OpenAI,Proprietary,,https://openai.com/index/introducing-o3-and-o4-mini/
15,9,Gemini-2.0-Flash-Exp,1238,+12/-12,3361,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?model=gemini-2.0-flash-exp
16,9,GPT-4.5-Preview,1235,+12/-12,3066,OpenAI,Proprietary,,https://openai.com/index/introducing-gpt-4-5/
17,10,ChatGPT-4o-latest (2024-09-03),1235,+11/-11,6535,OpenAI,Proprietary,2023/10,https://help.openai.com/en/articles/9624314-model-release-notes
18,9,Hunyuan-Large-Vision,1233,+15/-15,1806,Tencent,Proprietary,,https://cloud.tencent.com/document/product/1729/104753#d6cb04da-053d-4bed-b187-191514feb972
19,11,GPT-4.1-mini-2025-04-14,1229,+10/-10,5854,OpenAI,Proprietary,,https://openai.com/index/gpt-4-1/
20,11,Gemini-Exp-1206,1226,+12/-12,3661,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?model=gemini-exp-1206
21,11,Claude Sonnet 4 (thinking-32k),1225,+15/-15,1577,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
22,12,Claude Opus 4 (thinking-16k),1220,+15/-15,1725,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
23,16,o1-2024-12-17,1215,+11/-11,3825,OpenAI,Proprietary,,https://openai.com/index/o1-and-new-tools-for-developers/
24,16,Gemini-2.0-Pro-Exp-02-05,1214,+11/-11,3875,Google,Proprietary,,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-pro-exp-02-05
25,15,Claude Sonnet 4 (20250514),1212,+14/-14,2456,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
26,18,ChatGPT-4o-latest (2024-11-20),1210,+9/-9,5951,OpenAI,Proprietary,,https://help.openai.com/en/articles/9624314-model-release-notes
27,18,Gemini-1.5-Pro-Exp-0827,1210,+13/-13,10644,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro-exp-0827
28,18,Claude Opus 4 (20250514),1209,+13/-13,3098,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-4
29,18,Gemini-1.5-Pro-Exp-0801,1209,+12/-12,10662,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro-exp-0801
30,18,Gemma-3-27B-it,1208,+13/-13,3263,Google,Gemma,,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it
31,20,Gemini-1.5-Pro-002,1207,+9/-9,9061,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-pro-002
32,21,Gemini-2.0-Flash-001,1202,+8/-8,6782,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001
33,20,Claude 3.7 Sonnet (thinking-32k),1200,+15/-15,2004,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-3-7-sonnet
34,20,Qwen2.5-VL-32B-Instruct,1198,+16/-16,1505,Alibaba,Apache 2.0,,https://huggingface.co/Qwen/Qwen2.5-VL-32B-Instruct
35,22,Claude 3.7 Sonnet,1195,+10/-10,5097,Anthropic,Proprietary,,https://www.anthropic.com/news/claude-3-7-sonnet
36,25,Mistral Medium 3,1189,+11/-11,5234,Mistral,Proprietary,,https://mistral.ai/news/mistral-medium-3
37,25,Gemini-1.5-Flash-Exp-0827,1189,+13/-13,3739,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-exp-0827
38,31,Gemini-1.5-Flash-002,1185,+10/-10,7349,Google,Proprietary,,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-002
39,31,Llama-4-Maverick-17B-128E-Instruct,1182,+12/-12,4175,Meta,Llama 4,,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct
40,33,GPT-4o-2024-05-13,1181,+8/-8,23806,OpenAI,Proprietary,2023/10,https://openai.com/index/hello-gpt-4o/
41,31,Mistral-Small-2506,1179,+14/-14,2292,Mistral,Apache 2.0,,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506
42,37,Claude 3.5 Sonnet (20241022),1169,+7/-7,11011,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use
43,35,Llama-4-Scout-17B-16E-Instruct,1169,+14/-14,3591,Meta,Llama,,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct
44,36,Step-1o-Vision-32k (highres),1165,+13/-13,2891,StepFun,Proprietary,,https://platform.stepfun.com/docs/llm/vision
45,39,Claude 3.5 Sonnet (20240620),1164,+9/-9,22246,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/claude-3-5-sonnet
46,41,Mistral-Small-3.1-24B-Instruct-2503,1155,+12/-12,3898,Mistral,Apache 2.0,,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503
47,41,Qwen2.5-VL-72B-Instruct,1154,+11/-11,3884,Alibaba,Qwen,,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct
48,43,Gemini-2.0-Flash-Lite,1145,+11/-11,4088,Google,Proprietary,,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-lite
49,43,Claude 3.5 Haiku (20241022),1144,+16/-16,1844,Anthropic,Propretary,,https://www.anthropic.com/news/3-5-models-and-computer-use
50,46,Pixtral-Large-2411,1135,+9/-9,5546,Mistral,MRL,,https://huggingface.co/mistralai/Pixtral-Large-Instruct-2411
51,46,Gemini-1.5-Pro-001,1133,+12/-12,17169,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro
52,46,GPT-4-Turbo-2024-04-09,1133,+12/-12,13725,OpenAI,Proprietary,2023/12,https://platform.openai.com/docs/models/gpt-4-turbo-and-gpt-4
53,49,GPT-4o-2024-08-06,1115,+14/-14,3407,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o
54,49,GPT-4.1-nano-2025-04-14,1113,+19/-19,1215,OpenAI,Proprietary,,https://openai.com/index/gpt-4-1/
55,53,GPT-4o-mini-2024-07-18,1109,+7/-7,17829,OpenAI,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
56,53,Qwen-VL-Max-1119,1102,+17/-17,1449,Alibaba,Proprietary,,https://help.aliyun.com/zh/model-studio/user-guide/vision/?spm=a2c4g.11186623.0.0.33d259a8vPlZoe#f1cbd5b8a8k5w
57,53,Gemini-1.5-Flash-8B-Exp-0827,1097,+13/-13,3427,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-8b-exp-0827
58,55,Qwen2-VL-72b-Instruct,1091,+10/-10,6028,Alibaba,Qwen,2024/9,https://qwenlm.github.io/zh/blog/qwen2-vl/
