rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
1,2,Gemini-Exp-1121,1365,+8/-6,5625,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-exp-1121
1,1,ChatGPT-4o-latest (2024-11-20),1361,+4/-5,10658,OpenAI,Proprietary,Unknown,https://help.openai.com/en/articles/9624314-model-release-notes
3,5,Gemini-Exp-1114,1344,+4/-5,12778,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1114&model=gemini-exp-1114
4,2,o1-preview,1334,+4/-4,27835,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1
5,8,o1-mini,1308,+3/-4,31992,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1
5,5,Gemini-1.5-Pro-002,1301,+5/-3,27336,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-pro-002
6,5,Gemini-1.5-Pro-Exp-0827,1299,+4/-4,32345,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro-exp-0827
8,11,Grok-2-08-13,1289,+4/-3,52102,xAI,Proprietary,2024/3,https://x.ai/blog/grok-2
8,13,Yi-Lightning,1287,+4/-3,29336,01 AI,Proprietary,Unknown,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B%E4%B8%8E%E8%AE%A1%E8%B4%B9
8,5,GPT-4o-2024-05-13,1285,+2/-2,111745,OpenAI,Proprietary,2023/10,https://openai.com/index/hello-gpt-4o/
9,3,Claude 3.5 Sonnet (20241022),1282,+4/-3,29454,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use
11,18,Athene-v2-Chat-72B,1274,+8/-6,4354,NexusFlow,NexusFlow,Unknown,https://huggingface.co/Nexusflow/Athene-V2-Chat
12,19,GLM-4-Plus,1274,+5/-4,28133,Zhipu AI,Proprietary,Unknown,https://bigmodel.cn/dev/howuse/glm-4
12,20,GPT-4o-mini-2024-07-18,1273,+3/-3,51690,OpenAI,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
12,22,Gemini-1.5-Flash-002,1271,+4/-4,21071,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-002
12,16,Gemini-1.5-Flash-Exp-0827,1269,+4/-4,25476,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-exp-0827
12,29,Llama-3.1-Nemotron-70B-Instruct,1269,+5/-6,7270,Nvidia,Llama 3.1,2023/12,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct
12,8,Claude 3.5 Sonnet (20240620),1268,+2/-3,86632,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/claude-3-5-sonnet
12,10,Meta-Llama-3.1-405B-Instruct-fp8,1267,+4/-3,52089,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
12,26,Grok-2-Mini-08-13,1267,+3/-4,42192,xAI,Proprietary,2024/3,https://x.ai/blog/grok-2
13,9,Gemini Advanced App (2024-05-14),1267,+3/-3,52221,Google,Proprietary,Online,https://gemini.google.com/advanced
14,10,Meta-Llama-3.1-405B-Instruct-bf16,1266,+3/-5,14596,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
14,11,GPT-4o-2024-08-06,1265,+3/-3,43776,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o
14,17,Yi-Lightning-lite,1264,+4/-3,17279,01 AI,Proprietary,Unknown,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B%E4%B8%8E%E8%AE%A1%E8%B4%B9
14,20,Qwen-Max-0919,1263,+4/-4,17630,Alibaba,Qwen,Unknown,https://help.aliyun.com/zh/dashscope/developer-reference/model-introduction
22,16,Gemini-1.5-Pro-001,1260,+3/-3,82614,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro
22,27,Qwen2.5-72B-Instruct,1259,+3/-4,26302,Alibaba,Qwen,2024/9,https://qwenlm.github.io/blog/qwen2.5/
22,26,Deepseek-v2.5,1258,+4/-3,26023,DeepSeek,DeepSeek,Unknown,https://huggingface.co/deepseek-ai/DeepSeek-V2.5
26,16,GPT-4-Turbo-2024-04-09,1256,+3/-3,102279,OpenAI,Proprietary,2023/12,https://platform.openai.com/docs/models/gpt-4-turbo-and-gpt-4
27,27,Athene-70B,1250,+5/-4,20689,NexusFlow,CC-BY-NC-4.0,2024/7,https://huggingface.co/Nexusflow/Athene-70B
29,21,Mistral-Large-2407,1251,+3/-3,48270,Mistral,Mistral Research,2024/7,https://mistral.ai/news/mistral-large-2407/
30,19,GPT-4-1106-preview,1250,+3/-2,103847,OpenAI,Proprietary,2023/4,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
30,17,Claude 3 Opus,1248,+3/-2,186718,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family
30,34,Meta-Llama-3.1-70B-Instruct,1247,+4/-3,47975,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/
32,21,GPT-4-0125-preview,1245,+2/-2,97195,OpenAI,Proprietary,2023/12,https://openai.com/blog/new-models-and-developer-products-announced-at-devday
35,34,Yi-Large-preview,1240,+3/-2,51704,01 AI,Proprietary,Unknown,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B
37,36,Reka-Core-20240722,1231,+4/-4,13330,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models
37,34,Qwen-Plus-0828,1228,+4/-5,14730,Alibaba,Proprietary,Unknown,https://help.aliyun.com/zh/model-studio/getting-started/models
37,36,Gemini-1.5-Flash-001,1227,+3/-3,65786,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash
37,38,Qwen2.5-Coder-32B-Instruct,1220,+14/-10,2410,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct
38,35,Jamba-1.5-Large,1221,+5/-7,9178,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba
39,36,Deepseek-v2-API-0628,1220,+3/-5,19598,DeepSeek AI,DeepSeek,Unknown,https://platform.deepseek.com/api-docs/updates#deepseek-chat
40,36,Gemma-2-27B-it,1219,+3/-3,57595,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-27b-it
40,36,Gemma-2-9B-it-SimPO,1216,+6/-4,10609,Princeton,MIT,2024/7,https://huggingface.co/princeton-nlp/gemma-2-9b-it-SimPO
40,38,Command R+ (08-2024),1215,+4/-5,10604,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details
40,38,Deepseek-Coder-v2-0724,1214,+5/-5,11769,DeepSeek,Proprietary,Unknown,https://platform.deepseek.com/api-docs/updates/#version-2024-07-24
