key,id,model_name,model_sha,model_precision,model_type,model_weight_type,model_architecture,model_average_score,model_has_chat_template,evaluations_ifeval_name,evaluations_ifeval_value,evaluations_ifeval_normalized_score,evaluations_bbh_name,evaluations_bbh_value,evaluations_bbh_normalized_score,evaluations_math_name,evaluations_math_value,evaluations_math_normalized_score,evaluations_gpqa_name,evaluations_gpqa_value,evaluations_gpqa_normalized_score,evaluations_musr_name,evaluations_musr_value,evaluations_musr_normalized_score,evaluations_mmlu_pro_name,evaluations_mmlu_pro_value,evaluations_mmlu_pro_normalized_score,features_is_not_available_on_hub,features_is_merged,features_is_moe,features_is_flagged,features_is_official_provider,metadata_upload_date,metadata_submission_date,metadata_generation,metadata_base_model,metadata_hub_license,metadata_hub_hearts,metadata_params_billions,metadata_co2_cost,rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url
aya-expanse-32b,CohereForAI/aya-expanse-32b_float16_08b69cfa4240e2009c80ad304f000b491d1b8c38_True,CohereForAI/aya-expanse-32b,08b69cfa4240e2009c80ad304f000b491d1b8c38,float16,chatmodels,Original,CohereForCausalLM,29.7185101265771,TRUE,IFEval,0.730173716849072,73.0173716849072,BBH,0.564867009921211,38.7096114330142,MATH Level 5,0.153323262839879,15.3323262839879,GPQA,0.325503355704698,10.0671140939597,MUSR,0.387270833333333,6.40885416666667,MMLU-PRO,0.41298204787234,34.7757830969267,TRUE,FALSE,FALSE,FALSE,TRUE,2024-10-23,2024-10-24,0,CohereForAI/aya-expanse-32b,cc-by-nc-4.0,235,32.296,11.0354701998202,62,69,Aya-Expanse-32B,1209,+4/-4,28777,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-32b
aya-expanse-8b,CohereForAI/aya-expanse-8b_float16_b9848575c8731981dfcf2e1f3bfbcb917a2e585d_True,CohereForAI/aya-expanse-8b,b9848575c8731981dfcf2e1f3bfbcb917a2e585d,float16,chatmodels,Original,CohereForCausalLM,22.4065736979935,TRUE,IFEval,0.63585176221315,63.585176221315,BBH,0.497720305573641,28.5234825042885,MATH Level 5,0.0861027190332326,8.61027190332326,GPQA,0.302852348993289,7.04697986577182,MUSR,0.372885416666667,4.41067708333333,MMLU-PRO,0.300365691489362,22.2628546099291,TRUE,FALSE,FALSE,FALSE,TRUE,2024-10-23,2024-10-24,0,CohereForAI/aya-expanse-8b,cc-by-nc-4.0,348,8.028,2.33937813775141,79,85,Aya-Expanse-8B,1180,+6/-5,10405,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-8b
aya-expanse-8b,jebish7/aya-expanse-8b_bfloat16_31a967d26697e7d41e7625cee09ccf60484a7719_False,jebish7/aya-expanse-8b,31a967d26697e7d41e7625cee09ccf60484a7719,bfloat16,pretrained,Original,CohereForCausalLM,18.107304602978,FALSE,IFEval,0.379114083963882,37.9114083963882,BBH,0.496904421264497,28.2439580882174,MATH Level 5,0.081570996978852,8.1570996978852,GPQA,0.283557046979866,4.47427293064877,MUSR,0.386895833333333,6.4953125,MMLU-PRO,0.310255984042553,23.3617760047281,TRUE,FALSE,FALSE,FALSE,FALSE,2025-02-06,2025-02-06,0,jebish7/aya-expanse-8b,cc-by-nc-4.0,0,8.028,1.7394495348238,79,85,Aya-Expanse-8B,1180,+6/-5,10405,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-8b
deepseek-llm-67b-chat,deepseek-ai/deepseek-llm-67b-chat_bfloat16_79648bef7658bb824e4630740f6e1484c1b0620b_True,deepseek-ai/deepseek-llm-67b-chat,79648bef7658bb824e4630740f6e1484c1b0620b,bfloat16,chatmodels,Original,LlamaForCausalLM,27.3106318747368,TRUE,IFEval,0.558715319795919,55.8715319795919,BBH,0.524341617974236,33.2252419253453,MATH Level 5,0.0929003021148036,9.29003021148036,GPQA,0.316275167785235,8.83668903803132,MUSR,0.505864583333333,23.9330729166667,MMLU-PRO,0.394365026595745,32.707225177305,TRUE,FALSE,FALSE,FALSE,TRUE,2023-11-29,2024-06-12,0,deepseek-ai/deepseek-llm-67b-chat,other,197,67,119.643617337393,126,117,DeepSeek-LLM-67B-Chat,1077,+8/-7,4989,DeepSeek AI,DeepSeek License,2023/11,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat
dolly-v2-12b,databricks/dolly-v2-12b_bfloat16_19308160448536e378e3db21a73a751579ee7fdd_False,databricks/dolly-v2-12b,19308160448536e378e3db21a73a751579ee7fdd,bfloat16,fine-tunedondomain-specificdatasets,Original,GPTNeoXForCausalLM,6.37043570349638,FALSE,IFEval,0.235507342739487,23.5507342739487,BBH,0.331997316737713,6.37789413745296,MATH Level 5,0.013595166163142,1.3595166163142,GPQA,0.240771812080537,0,MUSR,0.37390625,5.50494791666667,MMLU-PRO,0.112865691489362,1.42952127659574,TRUE,FALSE,FALSE,FALSE,TRUE,2023-04-11,2024-06-12,0,databricks/dolly-v2-12b,mit,1955,12,2.79423892455933,175,173,Dolly-V2-12B,822,+10/-9,3483,Databricks,MIT,2023/4,https://huggingface.co/databricks/dolly-v2-12b
gemma-1.1-2b-it,google/gemma-1.1-2b-it_bfloat16_bf4924f313df5166dee1467161e886e55f2eb4d4_True,google/gemma-1.1-2b-it,bf4924f313df5166dee1467161e886e55f2eb4d4,bfloat16,chatmodels,Original,GemmaForCausalLM,8.05337385434198,TRUE,IFEval,0.306748316688608,30.6748316688608,BBH,0.318463497481492,5.86282672277435,MATH Level 5,0.0181268882175227,1.81268882175227,GPQA,0.269295302013423,2.57270693512304,MUSR,0.339395833333333,2.02447916666667,MMLU-PRO,0.148354388297872,5.3727098108747,TRUE,FALSE,FALSE,FALSE,TRUE,2024-03-26,2024-06-12,0,google/gemma-1.1-2b-it,gemma,156,2.506,0.65842956284552,153,146,Gemma-1.1-2b-it,1021,+7/-6,11344,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-1.1-2b-it
gemma-1.1-7b-it,google/gemma-1.1-7b-it_bfloat16_16128b0aeb50762ea96430c0c06a37941bf9f274_True,google/gemma-1.1-7b-it,16128b0aeb50762ea96430c0c06a37941bf9f274,bfloat16,chatmodels,Original,GemmaForCausalLM,17.6935842289726,TRUE,IFEval,0.503910734628563,50.3910734628563,BBH,0.393529796283325,15.9342093850132,MATH Level 5,0.0490936555891239,4.90936555891239,GPQA,0.293624161073826,5.8165548098434,MUSR,0.423020833333333,11.5109375,MMLU-PRO,0.258394281914894,17.5993646572104,TRUE,FALSE,FALSE,FALSE,TRUE,2024-03-26,2024-06-12,0,google/gemma-1.1-7b-it,gemma,270,8.538,1.15659837992671,122,113,Gemma-1.1-7B-it,1084,+4/-4,25070,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-1.1-7b-it
gemma-2-27b-it,google/gemma-2-27b-it_bfloat16_f6c533e5eb013c7e31fc74ef042ac4f3fb5cf40b_True,google/gemma-2-27b-it,f6c533e5eb013c7e31fc74ef042ac4f3fb5cf40b,bfloat16,chatmodels,Original,Gemma2ForCausalLM,36.1742825151034,TRUE,IFEval,0.797767700811624,79.7767700811624,BBH,0.64513874331688,49.2728421513039,MATH Level 5,0.238670694864048,23.8670694864048,GPQA,0.375,16.6666666666667,MUSR,0.403302083333333,9.11276041666667,MMLU-PRO,0.445146276595745,38.3495862884161,TRUE,FALSE,FALSE,FALSE,TRUE,2024-06-24,2024-08-07,1,google/gemma-2-27b,gemma,540,27.227,9.65242237338547,60,55,Gemma-2-27B-it,1220,+3/-3,79649,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-27b-it
gemma-2-2b-it,google/gemma-2-2b-it_bfloat16_2b6ac3ff954ad896c115bbfa1b571cd93ea2c20f_True,google/gemma-2-2b-it,2b6ac3ff954ad896c115bbfa1b571cd93ea2c20f,bfloat16,fine-tunedondomain-specificdatasets,Original,InternLM2ForCausalLM,17.0469392949665,TRUE,IFEval,0.566833778817981,56.6833778817981,BBH,0.419923089142747,17.9807928815234,MATH Level 5,0.000755287009063444,0.0755287009063444,GPQA,0.274328859060403,3.24384787472036,MUSR,0.392885416666667,7.07734375,MMLU-PRO,0.25498670212766,17.2207446808511,TRUE,FALSE,FALSE,FALSE,TRUE,2024-07-16,2024-07-31,1,google/gemma-2-2b,gemma,1018,2.614,1.23474327420585,96,107,Gemma-2-2b-it,1144,+3/-4,49031,Google,Gemma license,2024/7,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-2b-it
gemma-2-2b-it,jebish7/gemma-2-2b-it_bfloat16_275bb885ea2f325e6f05249ad00a52f2e8cb0691_False,jebish7/gemma-2-2b-it,275bb885ea2f325e6f05249ad00a52f2e8cb0691,bfloat16,pretrained,Original,Gemma2ForCausalLM,12.3633361840829,FALSE,IFEval,0.12717035244263,12.717035244263,BBH,0.439515649070996,20.9191152053115,MATH Level 5,0.033987915407855,3.3987915407855,GPQA,0.296979865771812,6.26398210290828,MUSR,0.424447916666667,11.82265625,MMLU-PRO,0.271525930851064,19.0584367612293,TRUE,FALSE,FALSE,FALSE,FALSE,2025-02-06,2025-02-06,1,google/gemma-2-2b,gemma,0,2.614,2.42691211833265,96,107,Gemma-2-2b-it,1144,+3/-4,49031,Google,Gemma license,2024/7,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-2b-it
